,Name_number,phylomatic.input,phylomatic.all.lower,Name_submitted,Overall_score,Name_matched,Name_matched_rank,Name_score,Name_matched_author,Name_matched_url,Author_matched,Author_score,Family_matched,Family_score,Name_matched_accepted_family,Genus_matched,Genus_score,Specific_epithet_matched,Specific_epithet_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Taxonomic_status,Accepted_name,Accepted_name_author,Accepted_name_rank,Accepted_name_url,Accepted_name_species,Accepted_name_family,Selected,Source,Warnings,Accepted_name_lsid
139,139,pandanaceae/pandanus/Pandanus_furcatus,pandanaceae/pandanus/pandanus_furcatus,Pandanus furcatus,1,Pandanus furcatus,species,1,Roxb.,http://www.tropicos.org/Name/23900147;http://plants.usda.gov/java/profile?symbol=PAFU6,,NA,NA,NA,Pandanaceae,Pandanus,1,furcatus,1,,,NA,NA,NA,NA,NA,,Accepted,Pandanus furcatus,Roxb.,species,http://www.tropicos.org/Name/23900147;http://plants.usda.gov/java/profile?symbol=PAFU6,Pandanus furcatus,Pandanaceae,TRUE,tropicos;usda, ,
140,140,poaceae/phalaris/Phalaris_arundinacea,poaceae/phalaris/phalaris_arundinacea,Phalaris arundinacea,1,Phalaris arundinacea,species,1,L.,http://www.tropicos.org/Name/25509858;http://plants.usda.gov/java/profile?symbol=PHAR3,,NA,NA,NA,Poaceae,Phalaris,1,arundinacea,1,,,NA,NA,NA,NA,NA,,Accepted,Phalaris arundinacea,L.,species,http://www.tropicos.org/Name/25509858;http://plants.usda.gov/java/profile?symbol=PHAR3,Phalaris arundinacea,Poaceae,TRUE,tropicos;usda, ,
141,141,poaceae/phragmites/Phragmites_australis,poaceae/phragmites/phragmites_australis,Phragmites australis,1,Phragmites australis,species,1,(Cav.) Trin. ex Steud.,http://www.tropicos.org/Name/25511373;http://plants.usda.gov/java/profile?symbol=PHAU7,,NA,NA,NA,Poaceae,Phragmites,1,australis,1,,,NA,NA,NA,NA,NA,,Accepted,Phragmites australis,(Cav.) Trin. ex Steud.,species,http://www.tropicos.org/Name/25511373;http://plants.usda.gov/java/profile?symbol=PHAU7,Phragmites australis,Poaceae,TRUE,tropicos;usda, ,
142,142,pinaceae/picea/Picea_abies,pinaceae/picea/picea_abies,Picea abies,1,Picea abies,species,1,(L.) H. Karst.,http://www.tropicos.org/Name/24900164,,NA,NA,NA,Pinaceae,Picea,1,abies,1,,,NA,NA,NA,NA,NA,,Accepted,Picea abies,(L.) H. Karst.,species,http://www.tropicos.org/Name/24900164,Picea abies,Pinaceae,TRUE,tropicos, ,
143,143,pinaceae/pinus/Pinus_pinaster,pinaceae/pinus/pinus_pinaster,Pinus pinaster,1,Pinus pinaster,species,1,Aiton,http://www.tropicos.org/Name/24900370;http://plants.usda.gov/java/profile?symbol=PIPI6,,NA,NA,NA,Pinaceae,Pinus,1,pinaster,1,,,NA,NA,NA,NA,NA,,Accepted,Pinus pinaster,Aiton,species,http://www.tropicos.org/Name/24900370;http://plants.usda.gov/java/profile?symbol=PIPI6,Pinus pinaster,Pinaceae,TRUE,tropicos;usda, ,
144,144,pinaceae/pinus/Pinus_ponderosa,pinaceae/pinus/pinus_ponderosa,Pinus ponderosa,1,Pinus ponderosa,species,1,Douglas ex Lawson & C. Lawson,http://www.tropicos.org/Name/24900205,,NA,NA,NA,Pinaceae,Pinus,1,ponderosa,1,,,NA,NA,NA,NA,NA,,Accepted,Pinus ponderosa,Douglas ex Lawson & C. Lawson,species,http://www.tropicos.org/Name/24900205,Pinus ponderosa,Pinaceae,TRUE,tropicos, ,
145,145,pinaceae/pinus/Pinus_strobus,pinaceae/pinus/pinus_strobus,Pinus strobus,1,Pinus strobus,species,1,L.,http://www.tropicos.org/Name/24900219;http://plants.usda.gov/java/profile?symbol=PIST,,NA,NA,NA,Pinaceae,Pinus,1,strobus,1,,,NA,NA,NA,NA,NA,,Accepted,Pinus strobus,L.,species,http://www.tropicos.org/Name/24900219;http://plants.usda.gov/java/profile?symbol=PIST,Pinus strobus,Pinaceae,TRUE,tropicos;usda, ,
146,146,pinaceae/pinus/Pinus_sylvestris,pinaceae/pinus/pinus_sylvestris,Pinus sylvestris,1,Pinus sylvestris,species,1,L.,http://www.tropicos.org/Name/24900220;http://plants.usda.gov/java/profile?symbol=PISY,,NA,NA,NA,Pinaceae,Pinus,1,sylvestris,1,,,NA,NA,NA,NA,NA,,Accepted,Pinus sylvestris,L.,species,http://www.tropicos.org/Name/24900220;http://plants.usda.gov/java/profile?symbol=PISY,Pinus sylvestris,Pinaceae,TRUE,tropicos;usda, ,
147,147,pittosporaceae/pittosporum/Pittosporum_undulatum,pittosporaceae/pittosporum/pittosporum_undulatum,Pittosporum undulatum,1,Pittosporum undulatum,species,1,Vent.,http://www.tropicos.org/Name/25100080;http://plants.usda.gov/java/profile?symbol=PIUN2,,NA,NA,NA,Pittosporaceae,Pittosporum,1,undulatum,1,,,NA,NA,NA,NA,NA,,Accepted,Pittosporum undulatum,Vent.,species,http://www.tropicos.org/Name/25100080;http://plants.usda.gov/java/profile?symbol=PIUN2,Pittosporum undulatum,Pittosporaceae,TRUE,tropicos;usda, ,
148,148,pittosporaceae/pittosporum/Pittosporum_viridiflorum,pittosporaceae/pittosporum/pittosporum_viridiflorum,Pittosporum viridiflorum,1,Pittosporum viridiflorum,species,1,Sims,http://www.tropicos.org/Name/25100017;http://plants.usda.gov/java/profile?symbol=PIVI5,,NA,NA,NA,Pittosporaceae,Pittosporum,1,viridiflorum,1,,,NA,NA,NA,NA,NA,,Accepted,Pittosporum viridiflorum,Sims,species,http://www.tropicos.org/Name/25100017;http://plants.usda.gov/java/profile?symbol=PIVI5,Pittosporum viridiflorum,Pittosporaceae,TRUE,tropicos;usda, ,
149,149,platanaceae/platanus/Platanus_hybrida,platanaceae/platanus/platanus_hybrida,Platanus hybrida,1,Platanus hybrida,species,1,Brot.,http://plants.usda.gov/java/profile?symbol=PLHY3,,NA,NA,NA,Platanaceae,Platanus,1,hybrida,1,,,NA,NA,NA,NA,NA,,Accepted,Platanus hybrida,Brot.,species,http://plants.usda.gov/java/profile?symbol=PLHY3,Platanus hybrida,Platanaceae,TRUE,usda, ,
150,150,platanaceae/platanus/Platanus_occidentalis,platanaceae/platanus/platanus_occidentalis,Platanus occidentalis,1,Platanus occidentalis,species,1,L.,http://www.tropicos.org/Name/25300003;http://plants.usda.gov/java/profile?symbol=PLOC,,NA,NA,NA,Platanaceae,Platanus,1,occidentalis,1,,,NA,NA,NA,NA,NA,,Accepted,Platanus occidentalis,L.,species,http://www.tropicos.org/Name/25300003;http://plants.usda.gov/java/profile?symbol=PLOC,Platanus occidentalis,Platanaceae,TRUE,tropicos;usda, ,
151,151,platanaceae/platanus/Platanus_orientalis,platanaceae/platanus/platanus_orientalis,Platanus orientalis,1,Platanus orientalis,species,1,L.,http://www.tropicos.org/Name/25300016;http://plants.usda.gov/java/profile?symbol=PLOR6,,NA,NA,NA,Platanaceae,Platanus,1,orientalis,1,,,NA,NA,NA,NA,NA,,Accepted,Platanus orientalis,L.,species,http://www.tropicos.org/Name/25300016;http://plants.usda.gov/java/profile?symbol=PLOR6,Platanus orientalis,Platanaceae,TRUE,tropicos;usda, ,
152,152,platanaceae/platanus/Platanus_,platanaceae/platanus/platanus_,Platanus sp.,0.9,Platanus,genus,1,L.,http://www.tropicos.org/Name/40010355,,NA,NA,NA,Platanaceae,Platanus,1,,NA,,,NA,NA,NA,NA,NA,sp.,Accepted,Platanus ,L.,genus,http://www.tropicos.org/Name/40010355,,Platanaceae,TRUE,tropicos, ,
