,Name_number,phylomatic.input,phylomatic.all.lower,Name_submitted,Overall_score,Name_matched,Name_matched_rank,Name_score,Name_matched_author,Name_matched_url,Author_matched,Author_score,Family_matched,Family_score,Name_matched_accepted_family,Genus_matched,Genus_score,Specific_epithet_matched,Specific_epithet_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Taxonomic_status,Accepted_name,Accepted_name_author,Accepted_name_rank,Accepted_name_url,Accepted_name_species,Accepted_name_family,Selected,Source,Warnings,Accepted_name_lsid
171,171,potamogetonaceae/potamogeton/Potamogeton_natans,potamogetonaceae/potamogeton/potamogeton_natans,Potamogeton natans,1,Potamogeton natans,species,1,L.,http://www.tropicos.org/Name/26300029;http://plants.usda.gov/java/profile?symbol=PONA4,,NA,NA,NA,Potamogetonaceae,Potamogeton,1,natans,1,,,NA,NA,NA,NA,NA,,Accepted,Potamogeton natans,L.,species,http://www.tropicos.org/Name/26300029;http://plants.usda.gov/java/profile?symbol=PONA4,Potamogeton natans,Potamogetonaceae,TRUE,tropicos;usda, ,
172,172,burseraceae/protium/Protium_brasiliense,burseraceae/protium/protium_brasiliense,Protium brasiliense,1,Protium brasiliense,species,1,Engl.,http://www.tropicos.org/Name/4700086,,NA,NA,NA,Burseraceae,Protium,1,brasiliense,1,,,NA,NA,NA,NA,NA,,Accepted,Protium brasiliense,Engl.,species,http://www.tropicos.org/Name/4700086,Protium brasiliense,Burseraceae,TRUE,tropicos, ,
173,173,burseraceae/protium/Protium_heptaphyllum,burseraceae/protium/protium_heptaphyllum,Protium heptaphyllum,1,Protium heptaphyllum,species,1,(Aubl.) Marchand,http://www.tropicos.org/Name/4700374,,NA,NA,NA,Burseraceae,Protium,1,heptaphyllum,1,,,NA,NA,NA,NA,NA,,Accepted,Protium heptaphyllum,(Aubl.) Marchand,species,http://www.tropicos.org/Name/4700374,Protium heptaphyllum,Burseraceae,TRUE,tropicos, ,
174,174,rosaceae/prunus/Cerasus_avium,rosaceae/prunus/cerasus_avium,Prunus avium,1,Prunus avium,species,1,(L.) L.,http://www.tropicos.org/Name/27801088,,NA,NA,NA,Rosaceae,Prunus,1,avium,1,,,NA,NA,NA,NA,NA,,Synonym,Cerasus avium,(L.) Moench,species,http://www.tropicos.org/Name/27804159,Cerasus avium,Rosaceae,TRUE,tropicos, ,
175,175,rosaceae/prunus/Prunus_laurocerasus,rosaceae/prunus/prunus_laurocerasus,Prunus laurocerasus,1,Prunus laurocerasus,species,1,L.,http://www.tropicos.org/Name/27801103;http://plants.usda.gov/java/profile?symbol=PRLA5,,NA,NA,NA,Rosaceae,Prunus,1,laurocerasus,1,,,NA,NA,NA,NA,NA,,Accepted,Prunus laurocerasus,L.,species,http://www.tropicos.org/Name/27801103;http://plants.usda.gov/java/profile?symbol=PRLA5,Prunus laurocerasus,Rosaceae,TRUE,tropicos;usda, ,
176,176,rosaceae/prunus/Prunus_serotina,rosaceae/prunus/prunus_serotina,Prunus serotina,1,Prunus serotina,species,1,Ehrh.,http://www.tropicos.org/Name/27800337;http://plants.usda.gov/java/profile?symbol=PRSE2,,NA,NA,NA,Rosaceae,Prunus,1,serotina,1,,,NA,NA,NA,NA,NA,,Accepted,Prunus serotina,Ehrh.,species,http://www.tropicos.org/Name/27800337;http://plants.usda.gov/java/profile?symbol=PRSE2,Prunus serotina,Rosaceae,TRUE,tropicos;usda, ,
177,177,fagaceae/quercus/Quercus_alba,fagaceae/quercus/quercus_alba,Quercus alba,1,Quercus alba,species,1,L.,http://www.tropicos.org/Name/13100028;http://plants.usda.gov/java/profile?symbol=QUAL,,NA,NA,NA,Fagaceae,Quercus,1,alba,1,,,NA,NA,NA,NA,NA,,Accepted,Quercus alba,L.,species,http://www.tropicos.org/Name/13100028;http://plants.usda.gov/java/profile?symbol=QUAL,Quercus alba,Fagaceae,TRUE,tropicos;usda, ,
178,178,fagaceae/quercus/Quercus_coccinea,fagaceae/quercus/quercus_coccinea,Quercus coccinea,1,Quercus coccinea,species,1,Münchh.,http://www.tropicos.org/Name/13100053;http://plants.usda.gov/java/profile?symbol=QUCO2,,NA,NA,NA,Fagaceae,Quercus,1,coccinea,1,,,NA,NA,NA,NA,NA,,Accepted,Quercus coccinea,Münchh.,species,http://www.tropicos.org/Name/13100053;http://plants.usda.gov/java/profile?symbol=QUCO2,Quercus coccinea,Fagaceae,TRUE,tropicos;usda, ,
179,179,fagaceae/quercus/Quercus_mongolica,fagaceae/quercus/quercus_mongolica,Quercus crispula,1,Quercus crispula,species,1,Blume,http://www.tropicos.org/Name/13100483,,NA,NA,NA,Fagaceae,Quercus,1,crispula,1,,,NA,NA,NA,NA,NA,,Synonym,Quercus mongolica,Fisch. ex Ledeb.,species,http://www.tropicos.org/Name/13100007,Quercus mongolica,Fagaceae,TRUE,tropicos, ,
180,180,fagaceae/quercus/Quercus_falcata,fagaceae/quercus/quercus_falcata,Quercus falcata,1,Quercus falcata,species,1,Michx.,http://www.tropicos.org/Name/13100245;http://plants.usda.gov/java/profile?symbol=QUFA,,NA,NA,NA,Fagaceae,Quercus,1,falcata,1,,,NA,NA,NA,NA,NA,,Accepted,Quercus falcata,Michx.,species,http://www.tropicos.org/Name/13100245;http://plants.usda.gov/java/profile?symbol=QUFA,Quercus falcata,Fagaceae,TRUE,tropicos;usda, ,
181,181,fagaceae/quercus/Quercus_gambelii,fagaceae/quercus/quercus_gambelii,Quercus gambelii,1,Quercus gambelii,species,1,Nutt.,http://www.tropicos.org/Name/13100191;http://plants.usda.gov/java/profile?symbol=QUGA,,NA,NA,NA,Fagaceae,Quercus,1,gambelii,1,,,NA,NA,NA,NA,NA,,Accepted,Quercus gambelii,Nutt.,species,http://www.tropicos.org/Name/13100191;http://plants.usda.gov/java/profile?symbol=QUGA,Quercus gambelii,Fagaceae,TRUE,tropicos;usda, ,
182,182,fagaceae/quercus/Quercus_ilex,fagaceae/quercus/quercus_ilex,Quercus ilex,1,Quercus ilex,species,1,L.,http://www.tropicos.org/Name/13100403;http://plants.usda.gov/java/profile?symbol=QUIL2,,NA,NA,NA,Fagaceae,Quercus,1,ilex,1,,,NA,NA,NA,NA,NA,,Accepted,Quercus ilex,L.,species,http://www.tropicos.org/Name/13100403;http://plants.usda.gov/java/profile?symbol=QUIL2,Quercus ilex,Fagaceae,TRUE,tropicos;usda, ,
183,183,fagaceae/quercus/Quercus_macrocarpa,fagaceae/quercus/quercus_macrocarpa,Quercus macrocarpa,1,Quercus macrocarpa,species,1,Michx.,http://www.tropicos.org/Name/13100002;http://plants.usda.gov/java/profile?symbol=QUMA2,,NA,NA,NA,Fagaceae,Quercus,1,macrocarpa,1,,,NA,NA,NA,NA,NA,,Accepted,Quercus macrocarpa,Michx.,species,http://www.tropicos.org/Name/13100002;http://plants.usda.gov/java/profile?symbol=QUMA2,Quercus macrocarpa,Fagaceae,TRUE,tropicos;usda, ,
184,184,fagaceae/quercus/Quercus_muehlenbergii,fagaceae/quercus/quercus_muehlenbergii,Quercus muehlenbergii,1,Quercus muehlenbergii,species,1,Engelm.,http://www.tropicos.org/Name/13100108;http://plants.usda.gov/java/profile?symbol=QUMU,,NA,NA,NA,Fagaceae,Quercus,1,muehlenbergii,1,,,NA,NA,NA,NA,NA,,Accepted,Quercus muehlenbergii,Engelm.,species,http://www.tropicos.org/Name/13100108;http://plants.usda.gov/java/profile?symbol=QUMU,Quercus muehlenbergii,Fagaceae,TRUE,tropicos;usda, ,
185,185,fagaceae/quercus/Quercus_nigra,fagaceae/quercus/quercus_nigra,Quercus nigra,1,Quercus nigra,species,1,L.,http://www.tropicos.org/Name/13100279;http://plants.usda.gov/java/profile?symbol=QUNI,,NA,NA,NA,Fagaceae,Quercus,1,nigra,1,,,NA,NA,NA,NA,NA,,Accepted,Quercus nigra,L.,species,http://www.tropicos.org/Name/13100279;http://plants.usda.gov/java/profile?symbol=QUNI,Quercus nigra,Fagaceae,TRUE,tropicos;usda, ,
186,186,fagaceae/quercus/Quercus_petraea,fagaceae/quercus/quercus_petraea,Quercus petraea,1,Quercus petraea,species,1,(Matt.) Liebl.,http://www.tropicos.org/Name/13100437,,NA,NA,NA,Fagaceae,Quercus,1,petraea,1,,,NA,NA,NA,NA,NA,,Accepted,Quercus petraea,(Matt.) Liebl.,species,http://www.tropicos.org/Name/13100437,Quercus petraea,Fagaceae,TRUE,tropicos, ,
187,187,fagaceae/quercus/Quercus_prinus,fagaceae/quercus/quercus_prinus,Quercus prinus,1,Quercus prinus,species,1,L.,http://www.tropicos.org/Name/13100216,,NA,NA,NA,Fagaceae,Quercus,1,prinus,1,,,NA,NA,NA,NA,NA,,No opinion,Quercus prinus,L.,,,,,TRUE,tropicos, ,
188,188,fagaceae/quercus/Quercus_robur,fagaceae/quercus/quercus_robur,Quercus robur,1,Quercus robur,species,1,(Ten.) A. DC.,http://www.tropicos.org/Name/50280607,,NA,NA,NA,Fagaceae,Quercus,1,robur,1,,,NA,NA,NA,NA,NA,,Accepted,Quercus robur,(Ten.) A. DC.,species,http://www.tropicos.org/Name/50280607,Quercus robur,Fagaceae,TRUE,tropicos, [Ambiguous match] ,
189,189,fagaceae/quercus/Quercus_rubra,fagaceae/quercus/quercus_rubra,Quercus rubra,1,Quercus rubra,species,1,L.,http://www.tropicos.org/Name/13100118;http://plants.usda.gov/java/profile?symbol=QURU,,NA,NA,NA,Fagaceae,Quercus,1,rubra,1,,,NA,NA,NA,NA,NA,,Accepted,Quercus rubra,L.,species,http://www.tropicos.org/Name/13100118;http://plants.usda.gov/java/profile?symbol=QURU,Quercus rubra,Fagaceae,TRUE,tropicos;usda, ,
190,190,fagaceae/quercus/Quercus_,fagaceae/quercus/quercus_,Quercus sp.,0.9,Quercus,genus,1,L.,http://www.tropicos.org/Name/40021776,,NA,NA,NA,Fagaceae,Quercus,1,,NA,,,NA,NA,NA,NA,NA,sp.,Accepted,Quercus ,L.,genus,http://www.tropicos.org/Name/40021776,,Fagaceae,TRUE,tropicos, ,
191,191,myrtaceae/rhodamnia/Rhodamnia_sessiliflora,myrtaceae/rhodamnia/rhodamnia_sessiliflora,Rhodamnia sessiliflora,1,Rhodamnia sessiliflora,species,1,Benth.,http://www.tropicos.org/Name/50223371,,NA,NA,NA,Myrtaceae,Rhodamnia,1,sessiliflora,1,,,NA,NA,NA,NA,NA,,No opinion,Rhodamnia sessiliflora,Benth.,,,,,TRUE,tropicos, ,
192,192,ericaceae/rhododendron/Rhododendron_maximum,ericaceae/rhododendron/rhododendron_maximum,Rhododendron maximum,1,Rhododendron maximum,species,1,L.,http://www.tropicos.org/Name/12300644;http://plants.usda.gov/java/profile?symbol=RHMA4,,NA,NA,NA,Ericaceae,Rhododendron,1,maximum,1,,,NA,NA,NA,NA,NA,,Accepted,Rhododendron maximum,L.,species,http://www.tropicos.org/Name/12300644;http://plants.usda.gov/java/profile?symbol=RHMA4,Rhododendron maximum,Ericaceae,TRUE,tropicos;usda, ,
193,193,ericaceae/rhododendron/Rhododendron_ponticum,ericaceae/rhododendron/rhododendron_ponticum,Rhododendron ponticum,1,Rhododendron ponticum,species,1,L.,http://www.tropicos.org/Name/12303137,,NA,NA,NA,Ericaceae,Rhododendron,1,ponticum,1,,,NA,NA,NA,NA,NA,,No opinion,Rhododendron ponticum,L.,,,,,TRUE,tropicos, ,
194,194,ericaceae/rhododendron/Rhododendron_,ericaceae/rhododendron/rhododendron_,Rhododendron sp.,0.9,Rhododendron,genus,1,L.,http://www.tropicos.org/Name/40024927,,NA,NA,NA,Ericaceae,Rhododendron,1,,NA,,,NA,NA,NA,NA,NA,sp.,Accepted,Rhododendron ,L.,genus,http://www.tropicos.org/Name/40024927,,Ericaceae,TRUE,tropicos, ,
195,195,vitaceae/rhoicissus/Rhoicissus_tomentosa,vitaceae/rhoicissus/rhoicissus_tomentosa,Rhoicissus tomentosa,1,Rhoicissus tomentosa,species,1,(Lam.) Wild & R.B. Drumm.,http://www.tropicos.org/Name/34000278,,NA,NA,NA,Vitaceae,Rhoicissus,1,tomentosa,1,,,NA,NA,NA,NA,NA,,Accepted,Rhoicissus tomentosa,(Lam.) Wild & R.B. Drumm.,species,http://www.tropicos.org/Name/34000278,Rhoicissus tomentosa,Vitaceae,TRUE,tropicos, ,
196,196,anacardiaceae/rhus/Rhus_natalensis,anacardiaceae/rhus/rhus_natalensis,Rhus natalensis,1,Rhus natalensis,species,1,Bernh.,http://www.tropicos.org/Name/1300931,,NA,NA,NA,Anacardiaceae,Rhus,1,natalensis,1,,,NA,NA,NA,NA,NA,,No opinion,Rhus natalensis,Bernh.,,,,,TRUE,tropicos, ,
197,197,rosaceae/rubus/Rubus_ulmifolius,rosaceae/rubus/rubus_ulmifolius,Rubus ulmifolius,1,Rubus ulmifolius,species,1,Schott,http://www.tropicos.org/Name/27801399;http://plants.usda.gov/java/profile?symbol=RUUL,,NA,NA,NA,Rosaceae,Rubus,1,ulmifolius,1,,,NA,NA,NA,NA,NA,,Accepted,Rubus ulmifolius,Schott,species,http://www.tropicos.org/Name/27801399;http://plants.usda.gov/java/profile?symbol=RUUL,Rubus ulmifolius,Rosaceae,TRUE,tropicos;usda, ,
198,198,poaceae/saccharum/Saccharum_,poaceae/saccharum/saccharum_,Saccharum sp.,0.9,Saccharum,genus,1,L.,http://www.tropicos.org/Name/40028242,,NA,NA,NA,Poaceae,Saccharum,1,,NA,,,NA,NA,NA,NA,NA,sp.,Accepted,Saccharum ,L.,genus,http://www.tropicos.org/Name/40028242,,Poaceae,TRUE,tropicos, ,
199,199,salicaceae/salix/Salix_xpendulina,salicaceae/salix/salix_xpendulina,Salix x pendulina,1,Salix x pendulina,species,1,Wender.,http://plants.usda.gov/java/profile?symbol=SAPE12,,NA,NA,NA,Salicaceae,Salix,1,pendulina,1,,,NA,NA,NA,NA,NA,,Accepted,Salix x pendulina,Wender.,species,http://plants.usda.gov/java/profile?symbol=SAPE12,Salix xpendulina,Salicaceae,TRUE,usda, ,
200,200,salicaceae/salix/Salix_alaxensis,salicaceae/salix/salix_alaxensis,Salix alaxensis,1,Salix alaxensis,species,1,(Andersson) Coville,http://www.tropicos.org/Name/28300012;http://plants.usda.gov/java/profile?symbol=SAAL,,NA,NA,NA,Salicaceae,Salix,1,alaxensis,1,,,NA,NA,NA,NA,NA,,Accepted,Salix alaxensis,(Andersson) Coville,species,http://www.tropicos.org/Name/28300012;http://plants.usda.gov/java/profile?symbol=SAAL,Salix alaxensis,Salicaceae,TRUE,tropicos;usda, ,
201,201,salicaceae/salix/Salix_alba,salicaceae/salix/salix_alba,Salix alba,1,Salix alba,species,1,L.,http://www.tropicos.org/Name/28300135;http://plants.usda.gov/java/profile?symbol=SAAL2,,NA,NA,NA,Salicaceae,Salix,1,alba,1,,,NA,NA,NA,NA,NA,,Accepted,Salix alba,L.,species,http://www.tropicos.org/Name/28300135;http://plants.usda.gov/java/profile?symbol=SAAL2,Salix alba,Salicaceae,TRUE,tropicos;usda, ,
202,202,salicaceae/salix/Salix_atrocinerea,salicaceae/salix/salix_atrocinerea,Salix atrocinerea,1,Salix atrocinerea,species,1,Brot.,http://www.tropicos.org/Name/28300554;http://plants.usda.gov/java/profile?symbol=SAAT2,,NA,NA,NA,Salicaceae,Salix,1,atrocinerea,1,,,NA,NA,NA,NA,NA,,Accepted,Salix atrocinerea,Brot.,species,http://www.tropicos.org/Name/28300554;http://plants.usda.gov/java/profile?symbol=SAAT2,Salix atrocinerea,Salicaceae,TRUE,tropicos;usda, ,
203,203,salicaceae/salix/Salix_bebbiana,salicaceae/salix/salix_bebbiana,Salix bebbiana,1,Salix bebbiana,species,1,Sarg.,http://www.tropicos.org/Name/28300022;http://plants.usda.gov/java/profile?symbol=SABE2,,NA,NA,NA,Salicaceae,Salix,1,bebbiana,1,,,NA,NA,NA,NA,NA,,Accepted,Salix bebbiana,Sarg.,species,http://www.tropicos.org/Name/28300022;http://plants.usda.gov/java/profile?symbol=SABE2,Salix bebbiana,Salicaceae,TRUE,tropicos;usda, ,
204,204,salicaceae/salix/Salix_cinerea,salicaceae/salix/salix_cinerea,Salix cinerea,1,Salix cinerea,species,1,L.,http://www.tropicos.org/Name/28300149;http://plants.usda.gov/java/profile?symbol=SACI,,NA,NA,NA,Salicaceae,Salix,1,cinerea,1,,,NA,NA,NA,NA,NA,,Accepted,Salix cinerea,L.,species,http://www.tropicos.org/Name/28300149;http://plants.usda.gov/java/profile?symbol=SACI,Salix cinerea,Salicaceae,TRUE,tropicos;usda, ,
205,205,salicaceae/salix/Salix_drummondiana,salicaceae/salix/salix_drummondiana,Salix drummondiana,1,Salix drummondiana,species,1,Barratt ex Hook.,http://www.tropicos.org/Name/28300084;http://plants.usda.gov/java/profile?symbol=SADR,,NA,NA,NA,Salicaceae,Salix,1,drummondiana,1,,,NA,NA,NA,NA,NA,,Accepted,Salix drummondiana,Barratt ex Hook.,species,http://www.tropicos.org/Name/28300084;http://plants.usda.gov/java/profile?symbol=SADR,Salix drummondiana,Salicaceae,TRUE,tropicos;usda, ,
206,206,salicaceae/salix/Salix_exigua,salicaceae/salix/salix_exigua,Salix exigua,1,Salix exigua,species,1,Nutt.,http://www.tropicos.org/Name/28300103;http://plants.usda.gov/java/profile?symbol=SAEX,,NA,NA,NA,Salicaceae,Salix,1,exigua,1,,,NA,NA,NA,NA,NA,,Accepted,Salix exigua,Nutt.,species,http://www.tropicos.org/Name/28300103;http://plants.usda.gov/java/profile?symbol=SAEX,Salix exigua,Salicaceae,TRUE,tropicos;usda, ,
207,207,salicaceae/salix/Salix_fragilis,salicaceae/salix/salix_fragilis,Salix fragilis,1,Salix fragilis,species,1,L.,http://www.tropicos.org/Name/100372115,,NA,NA,NA,Salicaceae,Salix,1,fragilis,1,,,NA,NA,NA,NA,NA,,No opinion,Salix fragilis,L.,,,,,TRUE,tropicos, ,
208,208,salicaceae/salix/Salix_gooddingii,salicaceae/salix/salix_gooddingii,Salix goodingii,0.98,Salix gooddingii,species,0.98,C.R. Ball,http://www.tropicos.org/Name/28300164;http://plants.usda.gov/java/profile?symbol=SAGO,,NA,NA,NA,Salicaceae,Salix,1,gooddingii,0.9,,,NA,NA,NA,NA,NA,,Accepted,Salix gooddingii,C.R. Ball,species,http://www.tropicos.org/Name/28300164;http://plants.usda.gov/java/profile?symbol=SAGO,Salix gooddingii,Salicaceae,TRUE,tropicos;usda, ,
209,209,salicaceae/salix/Salix_humboldtiana,salicaceae/salix/salix_humboldtiana,Salix humboldtiana,1,Salix humboldtiana,species,1,Willd.,http://www.tropicos.org/Name/28300168;http://plants.usda.gov/java/profile?symbol=SAHU,,NA,NA,NA,Salicaceae,Salix,1,humboldtiana,1,,,NA,NA,NA,NA,NA,,Accepted,Salix humboldtiana,Willd.,species,http://www.tropicos.org/Name/28300168;http://plants.usda.gov/java/profile?symbol=SAHU,Salix humboldtiana,Salicaceae,TRUE,tropicos;usda, ,
210,210,salicaceae/salix/Salix_lucida,salicaceae/salix/salix_lucida,Salix lucida,1,Salix lucida,species,1,Muhl.,http://www.tropicos.org/Name/28300045;http://plants.usda.gov/java/profile?symbol=SALU,,NA,NA,NA,Salicaceae,Salix,1,lucida,1,,,NA,NA,NA,NA,NA,,Accepted,Salix lucida,Muhl.,species,http://www.tropicos.org/Name/28300045;http://plants.usda.gov/java/profile?symbol=SALU,Salix lucida,Salicaceae,TRUE,tropicos;usda, ,
211,211,salicaceae/salix/Salix_nigra,salicaceae/salix/salix_nigra,Salix nigra,1,Salix nigra,species,1,Marshall,http://www.tropicos.org/Name/28300177,,NA,NA,NA,Salicaceae,Salix,1,nigra,1,,,NA,NA,NA,NA,NA,,Accepted,Salix nigra,Marshall,species,http://www.tropicos.org/Name/28300177,Salix nigra,Salicaceae,TRUE,tropicos, ,
212,212,salicaceae/salix/Salix_planifolia ssp. planifolia,salicaceae/salix/salix_planifolia ssp. planifolia,Salix planifolia Pursh ssp. planifolia,1,Salix planifolia ssp. planifolia,subspecies,1,Pursh,http://plants.usda.gov/java/profile?symbol=SAPLP4,,NA,NA,NA,Salicaceae,Salix,1,planifolia,1,subsp.,planifolia,1,NA,NA,NA,NA,,Accepted,Salix planifolia ssp. planifolia,Pursh,subspecies,http://plants.usda.gov/java/profile?symbol=SAPLP4,Salix planifolia,Salicaceae,TRUE,usda, ,
213,213,salicaceae/salix/Salix_,salicaceae/salix/salix_,Salix sp,0.9,Salix,genus,1,L.,http://www.tropicos.org/Name/40028804,,NA,NA,NA,Salicaceae,Salix,1,,NA,,,NA,NA,NA,NA,NA,sp,Accepted,Salix ,L.,genus,http://www.tropicos.org/Name/40028804,,Salicaceae,TRUE,tropicos, ,
214,214,adoxaceae/sambucus/Sambucus_nigra,adoxaceae/sambucus/sambucus_nigra,Sambucus nigra,1,Sambucus nigra,species,1,L.,http://www.tropicos.org/Name/6000026;http://plants.usda.gov/java/profile?symbol=SANI4,,NA,NA,NA,Adoxaceae,Sambucus,1,nigra,1,,,NA,NA,NA,NA,NA,,Accepted,Sambucus nigra,L.,species,http://www.tropicos.org/Name/6000026;http://plants.usda.gov/java/profile?symbol=SANI4,Sambucus nigra,Adoxaceae,TRUE,tropicos;usda, ,
215,215,araliaceae/schefflera/Schefflera_heptaphylla,araliaceae/schefflera/schefflera_heptaphylla,Schefflera octophylla,1,Schefflera octophylla,species,1,(Lour.) Harms,http://www.tropicos.org/Name/2201083,,NA,NA,NA,Araliaceae,Schefflera,1,octophylla,1,,,NA,NA,NA,NA,NA,,Synonym,Schefflera heptaphylla,(L.) Frodin,species,http://www.tropicos.org/Name/50114740,Schefflera heptaphylla,Araliaceae,TRUE,tropicos, ,
216,216,cyperaceae/schoenoplectus/Schoenoplectus_acutus,cyperaceae/schoenoplectus/schoenoplectus_acutus,Schoenoplectus acutus,1,Schoenoplectus acutus,species,1,(Muhl. ex Bigelow) Á. Löve & D. Löve,http://www.tropicos.org/Name/50008918;http://plants.usda.gov/java/profile?symbol=SCAC3,,NA,NA,NA,Cyperaceae,Schoenoplectus,1,acutus,1,,,NA,NA,NA,NA,NA,,Accepted,Schoenoplectus acutus,(Muhl. ex Bigelow) Á. Löve & D. Löve,species,http://www.tropicos.org/Name/50008918;http://plants.usda.gov/java/profile?symbol=SCAC3,Schoenoplectus acutus,Cyperaceae,TRUE,tropicos;usda, ,
217,217,cyperaceae/schoenoplectus/Schoenoplectus_americanus,cyperaceae/schoenoplectus/schoenoplectus_americanus,Schoenoplectus americanus Keller,0.86,Schoenoplectus americanus,species,1,(Pers.) Volkart ex Schinz & R. Keller,http://www.tropicos.org/Name/9904884;http://plants.usda.gov/java/profile?symbol=SCAM6,(Pers.) Volkart ex Schinz & R. Keller,0.31,NA,NA,Cyperaceae,Schoenoplectus,1,americanus,1,,,NA,NA,NA,NA,NA,,Accepted,Schoenoplectus americanus,(Pers.) Volkart ex Schinz & R. Keller,species,http://www.tropicos.org/Name/9904884;http://plants.usda.gov/java/profile?symbol=SCAM6,Schoenoplectus americanus,Cyperaceae,TRUE,tropicos;usda, ,
218,218,asteraceae/sebastiana/Chrysanthellum_,asteraceae/sebastiana/chrysanthellum_,Sebastiana commersoniana,0.5,Sebastiana,genus,0.5,Benth. & Hook.f.,http://compositae.landcareresearch.co.nz/default.aspx?Page=NameDetails&TabNum=0&NameId=AEB67109-ECBD-478B-B035-A7BAAA2AF40E,,NA,NA,NA,Asteraceae,Sebastiana,1,,NA,,,NA,NA,NA,NA,NA,commersoniana,Synonym,Sebastiania commersoniana,Rich.,genus,http://compositae.landcareresearch.co.nz/default.aspx?Page=NameDetails&TabNum=0&NameId=FC674BDB-8202-402F-8E10-D89563A02829,,Asteraceae,TRUE,gcc, [Partial match] [Better spelling match in different higher taxon] ,urn:lsid:compositae.org:names:FC674BDB-8202-402F-8E10-D89563A02829
219,219,rubiaceae/simira/Simira_maxonii,rubiaceae/simira/simira_maxonii,Simira maxonii,1,Simira maxonii,species,1,(Standl.) Steyerm.,http://www.tropicos.org/Name/27903489,,NA,NA,NA,Rubiaceae,Simira,1,maxonii,1,,,NA,NA,NA,NA,NA,,Accepted,Simira maxonii,(Standl.) Steyerm.,species,http://www.tropicos.org/Name/27903489,Simira maxonii,Rubiaceae,TRUE,tropicos, ,
220,220,polygonaceae/symmeria/Symmeria_paniculata,polygonaceae/symmeria/symmeria_paniculata,Symmeria paniculata,1,Symmeria paniculata,species,1,Benth.,http://www.tropicos.org/Name/26001034,,NA,NA,NA,Polygonaceae,Symmeria,1,paniculata,1,,,NA,NA,NA,NA,NA,,Accepted,Symmeria paniculata,Benth.,species,http://www.tropicos.org/Name/26001034,Symmeria paniculata,Polygonaceae,TRUE,tropicos, ,
221,221,myrtaceae/syzygium/Syzygium_cordatum,myrtaceae/syzygium/syzygium_cordatum,Syzygium cordatum,1,Syzygium cordatum,species,1,Hochst.,http://www.tropicos.org/Name/22102215,,NA,NA,NA,Myrtaceae,Syzygium,1,cordatum,1,,,NA,NA,NA,NA,NA,,Accepted,Syzygium cordatum,Hochst.,species,http://www.tropicos.org/Name/22102215,Syzygium cordatum,Myrtaceae,TRUE,tropicos, ,
222,222,tamaricaceae/tamarix/Tamarix_chinensis,tamaricaceae/tamarix/tamarix_chinensis,Tamarix chinensis,1,Tamarix chinensis,species,1,Lour.,http://www.tropicos.org/Name/31100005;http://plants.usda.gov/java/profile?symbol=TACH2,,NA,NA,NA,Tamaricaceae,Tamarix,1,chinensis,1,,,NA,NA,NA,NA,NA,,Accepted,Tamarix chinensis,Lour.,species,http://www.tropicos.org/Name/31100005;http://plants.usda.gov/java/profile?symbol=TACH2,Tamarix chinensis,Tamaricaceae,TRUE,tropicos;usda, ,
223,223,tamaricaceae/tamarix/Tamarix_,tamaricaceae/tamarix/tamarix_,Tamarix sp.,0.9,Tamarix,genus,1,L.,http://www.tropicos.org/Name/40009834,,NA,NA,NA,Tamaricaceae,Tamarix,1,,NA,,,NA,NA,NA,NA,NA,sp.,Accepted,Tamarix ,L.,genus,http://www.tropicos.org/Name/40009834,,Tamaricaceae,TRUE,tropicos, ,
224,224,lamiaceae/tectona/Tectona_grandis,lamiaceae/tectona/tectona_grandis,Tectona grandis,1,Tectona grandis,species,1,L. f.,http://www.tropicos.org/Name/33700544;http://plants.usda.gov/java/profile?symbol=TEGR,,NA,NA,NA,Lamiaceae,Tectona,1,grandis,1,,,NA,NA,NA,NA,NA,,Accepted,Tectona grandis,L. f.,species,http://www.tropicos.org/Name/33700544;http://plants.usda.gov/java/profile?symbol=TEGR,Tectona grandis,Lamiaceae,TRUE,tropicos;usda, ,
225,225,proteaceae/telopea/Telopea_,proteaceae/telopea/telopea_,Telopea oreades,0.5,Telopea,genus,0.5,R. Br.,http://www.tropicos.org/Name/40010912,,NA,NA,NA,Proteaceae,Telopea,1,,NA,,,NA,NA,NA,NA,NA,oreades,No opinion,Telopea oreades,R. Br.,,,,,TRUE,tropicos, [Partial match] [Ambiguous match] ,
226,226,combretaceae/terminalia/Terminalia_carolinensis,combretaceae/terminalia/terminalia_carolinensis,Terminalia carolinensis,1,Terminalia carolinensis,species,1,Kanehira,http://plants.usda.gov/java/profile?symbol=TECA16,,NA,NA,NA,Combretaceae,Terminalia,1,carolinensis,1,,,NA,NA,NA,NA,NA,,Accepted,Terminalia carolinensis,Kanehira,species,http://plants.usda.gov/java/profile?symbol=TECA16,Terminalia carolinensis,Combretaceae,TRUE,usda, ,
